Inventory,,,,
Quantity,Part,Distributer,Type,Description
1,ATMEGA64RFR2-ZU,Atmel,Microcontroller,2.4GHZ ZigBee SoC 16mhz 64KB flash 8KB sram VQFN
2,ATMEGA328P-AU,Atmel,Microcontroller,AVR 8bit 20mhz 32KB flash 2KB sram 32-TQFP
1,ATMEGA32-16PU,Atmel,Microcontroller,AVR 8bit 16mhz 32KB flash 2KB sram 16-DIP
1,ATMEGA8-16PU,Atmel,Microcontroller,AVR 8bit 16mhz 8KB flash 1KB sram 16-DIP
1,ATTINY13A-PU,Atmel,Microcontroller,AVR 8bit 20mhz 1KB flash 64B sram 8-DIP
2,ATTINY13A-SU,Atmel,Microcontroller,AVR 8bit 20mhz 1KB flash 64B sram 8-SOIC
1,ATTINY2313-20PU,Atmel,Microcontroller,AVR 8bit 20mhz 2KB flash 128B sram 20-DIP
1,AT32UC3L016-AUR,Atmel,Microcontroller,AVR 32bit 50mhz 16KB flash 8KB sram 48-TQFP
1,PIC16F690-I/P,Microchip,Microcontroller,PIC 8bit 20mhz 7KB flash 256B sram 20-DIP
1,MCP2210-I/SO,Microchip,Microcontroller,USB to SPI 20-SOIC
1,OV6620,Omnivision,Component,CMOS CIF Color Digital Camera 176x144
1,Pocket AVR Programmer,Sparkfun,Dev board,AVRISP
1,USB Mini-B 6ft,Sparkfun,Cable,For programmer
2,2x5 Shrouded Header,Sparkfun,Components,Headers - ISP socket on target board
1,2x5 AVR ICSP Male Header,Sparkfun,Components,Headers - ISP socket
1,"ZIF Socket 28-pin 0.3""",Sparkfun,Components,Target board chip socket
1,10 segment LED Bar - Blue,Sparkfun,Components,LED indicators
1,SSD1289,Solomon Systech,Components,240x320 TFT LCD Touchscreen Controller (w/ screen)
1,Nokia 5110 84x84 LCD,Sparkfun,Breakout,Display
2,Logic level converter,Sparkfun,Components,Nokia 5110 Components
1,500pc resistor kit,Sparkfun,Components,Resistors
1,Beginner parts kit,Sparkfun,Components,All
1,4xAA square battery holder,Sparkfun,Power,Battery holder
1,Wire - red,Sparkfun,Components,Wire
1,Wire - white,Sparkfun,Components,Wire
1,Electrical tape - black,Sparkfun,Tools,Tape
1,Lead solder - 100g,Sparkfun,Tools,Solder
1,Solder wick,Adafruit,Tools,Wick
1,Sensor - IR,Adafruit,Components,Sensor
1,SMD boxes - 3 pack,Adafruit,Tools,SMD box
1,Third hand w/ magnifier,Adafruit,Tools,SMD magnifier
1,Fine-tip curved tweezers,Adafruit,Tools,SMD tweezers
1,SMT/SMD 0805 Resistor & Cap book - 3725pc,Adafruit,Components,SMD
1,Breakaway male headers,Sparkfun,Components,Headers
1,Breakaway 36-pin male headers,Adafruit,Components,Headers
2,MG Chemicals 600 Photoresist 4x6 PCB,Amazon,PCBs,Presensitized photoresist PCB
